PLAYER,ROUND,COURSE,HOLE_1,HOLE_2,HOLE_3,HOLE_4,HOLE_5,HOLE_6,HOLE_7,HOLE_8,HOLE_9,OUT,HOLE_10,HOLE_11,HOLE_12,HOLE_13,HOLE_14,HOLE_15,HOLE_16,HOLE_17,HOLE_18,IN,TOTAL,POS
Jack Bigham,2,Lake,6,4,4,4,5,3,4,3,4,37,4,5,4,4,4,2,5,5,4,37,74.0,
Matthew Kress,1,Lake,5,5,4,4,3,4,3,4,4,36,4,5,5,2,6,4,5,3,4,38,74.0,
Matthew Kress,2,Ocean,4,3,4,4,3,4,4,4,4,34,3,4,5,4,4,4,4,4,4,36,70.0,
Ryder Cowan,1,Ocean,3,3,4,4,3,4,4,4,4,33,3,5,5,4,4,4,5,3,4,37,70.0,
Ryder Cowan,2,Lake,5,4,3,3,5,4,4,3,4,35,5,6,4,3,3,3,6,5,4,39,74.0,
Shaun Cook,1,Lake,5,4,3,4,4,4,4,3,5,36,5,4,4,3,4,2,5,6,5,38,74.0,
Shaun Cook,2,Ocean,4,3,4,4,2,4,4,4,5,34,3,4,4,4,4,6,4,3,4,36,70.0,
Michael Lugiano,1,Lake,5,4,4,4,4,5,3,4,4,37,4,4,3,3,4,3,5,4,4,34,71.0,
Michael Lugiano,2,Ocean,4,4,5,5,3,3,5,3,3,35,3,7,4,4,4,4,4,3,5,38,73.0,
Josiah Hakala,1,Lake,5,5,3,4,5,4,3,2,4,35,4,4,3,3,4,3,5,6,5,37,72.0,
Josiah Hakala,2,Ocean,5,4,4,5,3,5,4,4,4,38,4,4,4,4,3,4,4,3,4,34,72.0,
Parker Sands,1,Lake,4,4,4,4,5,4,4,3,4,36,5,5,5,4,4,3,5,4,3,38,74.0,
Parker Sands,2,Ocean,4,3,2,5,2,4,4,4,4,32,4,5,4,5,4,5,4,2,5,38,70.0,
Evan Beck,1,Ocean,4,4,4,5,2,5,3,4,4,35,3,5,4,4,5,3,5,3,4,36,71.0,
Evan Beck,2,Lake,6,4,3,4,6,5,4,5,4,41,4,3,3,3,4,3,4,3,5,32,73.0,
Tyler Loree,1,Ocean,5,3,4,4,2,4,6,4,4,36,3,5,4,4,5,4,4,3,5,37,73.0,
Tyler Loree,2,Lake,5,3,4,4,5,5,4,3,3,36,5,4,4,3,4,3,5,4,3,35,71.0,
Wheaton Ennis,1,Lake,5,3,3,4,5,5,4,4,3,36,4,4,4,4,4,3,5,4,4,36,72.0,
Wheaton Ennis,2,Ocean,4,4,4,5,2,4,4,4,4,35,2,5,6,4,5,4,4,3,4,37,72.0,
Zackary Swanwick,1,Ocean,4,5,5,4,3,4,4,4,4,37,3,5,4,4,5,5,4,3,5,38,75.0,
Zackary Swanwick,2,Lake,4,3,4,4,4,4,4,3,3,33,4,4,4,3,4,4,5,4,4,36,69.0,
Greyson Leach,1,Lake,4,5,3,4,4,5,4,4,4,37,4,4,4,3,4,4,6,4,3,36,73.0,
Greyson Leach,2,Ocean,4,3,4,5,3,4,4,3,4,34,3,5,4,4,4,5,4,4,4,37,71.0,
Adam Anderson,1,Ocean,6,4,5,5,3,5,4,5,4,41,3,4,4,3,4,6,4,2,4,34,75.0,
Adam Anderson,2,Lake,4,4,3,4,4,4,4,3,4,34,4,5,5,3,3,2,6,3,4,35,69.0,
Will Hartman,1,Lake,4,4,3,4,5,4,5,4,3,36,4,4,4,2,5,2,4,4,6,35,71.0,
Will Hartman,2,Ocean,5,3,3,7,3,4,4,4,4,37,3,5,4,6,4,4,2,4,4,36,73.0,
Carlos Astiazaran,1,Lake,4,4,3,4,5,4,4,3,4,35,4,5,4,2,5,3,5,5,5,38,73.0,
Carlos Astiazaran,2,Ocean,4,4,4,4,3,3,4,4,4,34,3,5,4,4,5,4,5,3,4,37,71.0,
Josiah Gilbert,1,Lake,5,3,2,5,5,3,4,3,5,35,3,4,4,3,5,3,5,5,5,37,72.0,
Josiah Gilbert,2,Ocean,6,4,3,5,3,3,4,4,4,36,3,5,4,4,3,5,4,3,5,36,72.0,
Michael Riebe,1,Ocean,4,3,4,5,3,4,4,6,4,37,3,5,4,5,4,4,4,2,4,35,72.0,
Michael Riebe,2,Lake,5,4,4,4,4,5,2,4,4,36,4,4,3,3,4,3,5,6,4,36,72.0,
Matthew McClean,1,Lake,5,4,3,4,5,5,5,3,3,37,3,5,5,4,4,2,4,6,4,37,74.0,
Matthew McClean,2,Ocean,5,3,4,5,3,4,4,3,4,35,3,5,4,4,5,3,4,4,3,35,70.0,
Avinash Iyer,1,Ocean,5,3,4,5,3,6,3,4,4,37,4,5,4,4,3,4,4,2,4,34,71.0,
Avinash Iyer,2,Lake,4,4,4,5,5,4,3,4,4,37,4,5,3,3,4,3,6,4,4,36,73.0,
Ryan Terry,1,Lake,4,4,5,4,3,4,4,4,4,36,5,4,5,3,3,3,5,5,4,37,73.0,
Ryan Terry,2,Ocean,5,4,4,4,2,4,4,3,5,35,4,4,4,4,4,4,4,3,6,37,72.0,
Matt Vogt,1,Lake,5,3,3,5,4,5,3,3,3,34,4,3,4,3,5,3,5,5,4,36,70.0,
Matt Vogt,2,Ocean,4,4,4,5,3,4,4,5,4,37,4,4,5,4,5,4,4,4,4,38,75.0,
Luke Potter,1,Ocean,4,3,5,5,2,6,4,3,3,35,3,5,4,4,4,5,5,3,4,37,72.0,
Luke Potter,2,Lake,5,5,3,4,4,4,5,4,4,38,4,5,4,3,4,3,4,4,4,35,73.0,
Adam Friedman,1,Ocean,4,3,4,5,3,4,4,4,5,36,4,4,4,4,4,4,4,3,4,35,71.0,
Adam Friedman,2,Lake,4,4,3,5,6,4,3,4,5,38,4,4,3,3,4,3,6,5,4,36,74.0,
Declan O'Donovan,1,Lake,4,5,3,4,6,4,4,4,3,37,5,3,4,3,4,3,4,6,3,35,72.0,
Declan O'Donovan,2,Ocean,4,3,5,5,3,3,4,5,4,36,3,5,4,5,4,4,4,3,5,37,73.0,
Trevor Gutschewski,1,Ocean,6,3,4,5,3,3,4,4,4,36,2,5,4,4,4,3,5,4,6,37,73.0,
Trevor Gutschewski,2,Lake,5,4,3,5,4,5,3,3,4,36,5,4,3,4,4,3,5,4,4,36,72.0,
Matthew Comegys,1,Lake,5,5,4,4,4,4,4,3,4,37,4,4,4,3,4,3,4,5,4,35,72.0,
Matthew Comegys,2,Ocean,5,4,5,5,3,4,3,4,5,38,3,5,4,3,5,4,4,3,4,35,73.0,
Robbie Ziegler,1,Ocean,4,4,4,5,3,4,4,4,4,36,3,7,5,4,4,5,4,3,4,39,75.0,
Robbie Ziegler,2,Lake,4,4,4,4,4,4,3,2,5,34,4,4,4,3,4,3,5,5,4,36,70.0,
Stewart Hagestad,1,Lake,5,6,4,4,4,3,4,4,4,38,4,4,5,2,4,2,5,4,4,34,72.0,
Stewart Hagestad,2,Ocean,5,4,4,4,2,4,3,4,4,34,4,6,5,4,4,5,4,3,4,39,73.0,
Garrett Endicott,1,Ocean,4,4,3,5,2,4,6,4,4,36,3,5,4,4,4,5,4,4,5,38,74.0,
Garrett Endicott,2,Lake,4,4,3,6,4,5,4,3,4,37,5,4,3,2,4,3,6,4,4,35,72.0,
Garrett Rank,1,Ocean,5,3,3,6,2,5,4,3,4,35,3,5,4,3,5,4,5,3,5,37,72.0,
Garrett Rank,2,Lake,5,4,3,4,6,6,4,3,4,39,4,4,4,3,4,3,4,5,4,35,74.0,
William King,1,Ocean,4,3,4,5,3,5,4,4,3,35,3,5,5,4,5,4,3,3,4,36,71.0,
William King,2,Lake,4,5,3,4,4,4,3,4,4,35,5,5,4,3,6,3,5,5,4,40,75.0,
Coby Carruthers,1,Ocean,4,3,4,5,4,4,3,3,4,34,4,5,6,4,4,4,5,3,3,38,72.0,
Coby Carruthers,2,Lake,6,5,5,4,4,4,4,3,4,39,4,4,4,2,4,3,5,5,4,35,74.0,
Justin Biwer,1,Ocean,5,3,4,4,3,6,3,4,4,36,4,5,5,4,3,5,5,3,4,38,74.0,
Justin Biwer,2,Lake,4,4,4,4,5,4,4,3,4,36,2,5,4,3,3,3,6,5,5,36,72.0,
Hamilton Coleman,1,Ocean,4,4,5,5,3,3,4,4,4,36,3,4,4,4,4,4,5,3,6,37,73.0,
Hamilton Coleman,2,Lake,5,4,3,4,4,5,4,3,5,37,4,4,5,3,3,4,5,4,4,36,73.0,
Matthew Robles,1,Ocean,4,4,6,6,4,3,4,4,3,38,3,5,5,5,4,5,4,2,3,36,74.0,
Matthew Robles,2,Lake,4,5,3,4,5,4,3,3,5,36,4,4,3,4,4,3,5,6,3,36,72.0,
Jacob Goode,1,Lake,4,4,5,4,5,4,4,4,4,38,4,4,4,4,3,3,5,4,4,35,73.0,
Jacob Goode,2,Ocean,5,2,4,5,4,6,5,3,4,38,3,5,4,5,3,4,4,2,5,35,73.0,
Kade McDonough,1,Lake,5,4,2,5,5,5,4,4,4,38,3,4,5,4,4,3,5,5,5,38,76.0,
Kade McDonough,2,Ocean,4,4,3,4,3,4,4,4,4,34,4,5,4,4,4,3,5,3,4,36,70.0,
Oliver Cage,1,Lake,4,4,4,5,5,4,4,4,4,38,4,4,5,3,5,2,4,5,5,37,75.0,
Oliver Cage,2,Ocean,4,3,4,4,3,5,6,5,4,38,3,4,5,4,3,3,4,3,4,33,71.0,
Luke Powell,1,Ocean,4,4,4,5,2,5,4,4,4,36,3,5,4,4,3,5,5,3,5,37,73.0,
Luke Powell,2,Lake,5,4,4,4,5,4,3,3,3,35,4,5,4,3,5,3,5,4,5,38,,
Daniel Stringfellow,1,Lake,4,4,3,4,4,4,4,4,4,35,4,4,5,3,4,3,5,4,5,37,72.0,
Daniel Stringfellow,2,Ocean,6,3,4,5,2,5,5,4,3,37,3,5,4,4,5,4,5,3,4,37,74.0,
Matthew Troutman,1,Ocean,4,3,4,5,3,4,3,3,4,33,4,5,4,4,4,5,4,3,5,38,71.0,
Matthew Troutman,2,Lake,4,5,4,4,5,4,4,3,5,38,4,4,4,3,5,3,5,4,5,37,75.0,
Anthony Delisanti,1,Lake,4,4,4,3,4,4,3,4,4,34,5,5,5,4,4,3,4,5,3,38,72.0,
Anthony Delisanti,2,Ocean,5,3,4,4,4,4,4,5,4,37,4,5,3,5,4,3,4,2,7,37,74.0,
Andrew Ramos,1,Ocean,4,4,4,5,3,5,5,4,4,38,3,5,3,4,3,5,4,4,4,35,73.0,
Andrew Ramos,2,Lake,5,4,3,4,3,5,3,3,5,35,4,4,4,3,4,3,6,5,5,38,73.0,
Eric Doyle,1,Lake,4,4,3,4,4,4,4,4,4,35,3,4,4,3,4,3,5,5,4,35,70.0,
Eric Doyle,2,Ocean,4,3,4,5,2,4,6,4,3,35,3,7,4,4,5,6,4,2,6,41,76.0,
Cole Rueck,1,Lake,5,5,3,3,5,4,4,4,4,37,6,5,4,3,3,3,5,5,4,38,75.0,
Cole Rueck,2,Ocean,5,3,4,4,3,4,4,3,4,34,3,5,4,5,3,5,4,3,5,37,71.0,
Billy Dowling,1,Ocean,5,3,4,5,3,5,4,4,3,36,3,5,4,4,5,5,5,3,4,38,74.0,
Billy Dowling,2,Lake,4,4,3,4,6,3,3,4,4,35,4,3,4,3,4,3,8,5,3,37,72.0,
Tyler Mawhinney,1,Ocean,4,4,4,6,4,4,6,4,5,41,2,5,4,5,3,5,4,3,4,35,76.0,
Tyler Mawhinney,2,Lake,4,4,4,4,5,4,4,4,4,37,4,4,3,2,3,3,5,5,4,33,70.0,
Cameron Adam,1,Ocean,5,3,4,4,3,3,4,4,5,35,3,5,4,6,4,5,5,4,5,41,76.0,
Cameron Adam,2,Lake,3,4,4,5,4,4,3,3,5,35,4,4,4,3,4,3,5,5,3,35,70.0,
Bailey Sutter,1,Lake,5,4,4,4,4,4,4,2,5,36,3,5,5,3,5,3,6,4,4,38,74.0,
Bailey Sutter,2,Ocean,4,3,5,5,2,4,4,4,4,35,3,5,4,4,5,4,3,3,6,37,72.0,
Maxwell Tjoa,1,Ocean,4,4,5,4,3,4,4,4,4,36,3,5,4,4,5,4,5,3,5,38,74.0,
